published_date,title
2024-09-04,"Stock market today: BSE Sensex closes over 200 points down; Nifty50 near 25,200 as US economy slowdown fe - Times of India"
2024-06-05,India election: Why Modi’s narrow win sent the stock market tumbling - Al Jazeera
2025-08-25,"Stock Market Highlights: Sensex settles 329 pts higher, Nifty above 24,950 on Fed's rate cut hint - The Economic Times"
2024-01-11,Economic Perspectives | C.P. Chandrasekhar writes: Why the ongoing boom in stock markets is unsustainable - Frontline Magazine
2024-11-07,India is undergoing an astonishing stockmarket revolution - The Economist
2025-01-31,Economic Survey 2025 warns of 'meaningful stock market correction' in 2025 - Business Standard
2024-11-03,Foreign investors fear India’s stock market boom may be over - Financial Times
2024-01-02,India Is Chasing China’s Economy. But Something Is Holding It Back. (Published 2024) - The New York Times
2025-01-31,Indian stock market: 10 key things that changed for market overnight before Economic Survey - Gift Nifty to US GDP - Mint
2023-11-15,What drives the Indian stock market – fundamentals or policy? - Moneycontrol
2025-02-01,Economic Survey 2025 warns: US market correction may have 'cascading effect' on Indian stock market - her - Times of India
2024-07-22,Economic Survey 2023-24 cautions against significant increase in retail investors in stock market - The Hindu
2025-03-12,$1 trillion wiped out! Indian stock market crash shrinks its share in global market cap - Times of India
2025-03-21,Dramatic reversal! Foreign investors leaving Indian stock markets for China - but here’s why India is sti - Times of India
2025-03-18,Sensex rally leaves investors wealthier by Rs 8.67 lakh crore over 2 days! Top 8 reasons stock markets ar - Times of India
2025-08-22,"Stock market today: Nifty50 ends below 24,900; BSE Sensex down almost 700 points - top 5 reasons for fall - Times of India"
2025-04-21,"Stock market today: BSE Sensex closes over 850 points up; Nifty50 above 24,100 - top 5 reasons bulls part - Times of India"
2025-04-08,"Stock market today: BSE Sensex rallies over 1,000 points as markets rebound after crash; Nifty50 ends abo - Times of India"
2025-05-22,"Stock market crash today: Nifty50 ends above 24,600; BSE Sensex drops over 640 points - top reasons marke - Times of India"
2025-03-24,"Stock market today: BSE Sensex ends 1,079 points up; Nifty50 above 23,650 - top reasons for D-Street rall - Times of India"
2025-05-09,"Stock Market Highlights: Sensex settles 880 pts lower as India-Pakistan tensions escalate, Nifty below 24,050 - The Economic Times"
2025-07-15,"Stock Market Highlights: Sensex settles 317 pts higher, Nifty above 25,150; Hero MotoCorp jumps 5%, Bajaj... - The Economic Times"
2025-02-20,"Equity markets' pain to worsen as economy, corporate profits slow - Business Standard"
2025-04-07,"Stock market crash today: It's a bloodbath! Investors lose Rs 14 lakh crore as BSE Sensex ends 2,227 poin - Times of India"
2025-07-18,India’s ban on Jane Street raises concerns over regulator role - Al Jazeera
2025-04-07,"Stock market crash updates: Delayed momentum helps Sensex, Nifty50 pare intraday losses to close about 3% lower - The Hindu"
2025-01-31,Economic Survey 2024-25 cautions against 'meaningful' market correction in 2025 - The Hindu
2025-07-14,"Stock Market Highlights: Sensex settles 247 pts lower, Nifty below 25,100; JioFin, TechM drop 2% each - The Economic Times"
2024-05-31,"Wall Street Lands on India, Looking for Profits It Can’t Find in China (Published 2024) - The New York Times"
2025-04-25,"Why stock market fell today: BSE Sensex ends 589 points down; Nifty50 below 24,050 - top reasons - Times of India"
2025-05-12,"Stock market today: Nifty50 ends above 24,900; BSE Sensex rallies 3,000 points to cross 82,400 - top 5 re - Times of India"
2025-09-08,"Stock market today: Nifty50 ends above 24,750; BSE Sensex up over 70 points - Times of India"
2025-08-05,"Stock market today: Nifty50 closes at 24,650; BSE Sensex down over 300 points as Trump's higher tariffs w - Times of India"
2025-02-28,"Stock market crash today: BSE Sensex ends over 1,400 points down; Nifty50 below 22,150 - top 5 reasons fo - Times of India"
2025-08-25,"Stock market outlook: How will Nifty50, BSE Sensex react to US Fed chair Powell's rate cut hints? What an - Times of India"
2025-07-11,"Stock Market Highlights: Sensex settles 690 pts lower, Nifty below 25,150; M&M drops 3%, TaMo 2% - The Economic Times"
2025-08-19,"Stock Market Highlights: Sensex settles 370 pts higher, Nifty above 24,950 on GST cut hopes - The Economic Times"
2025-04-15,"India leads global market recovery, first in world to rebound from Trump tariff shock - Times of India"
2025-06-06,"Stock market today: Nifty50 ends above 25,000; BSE Sensex jumps over 700 points; market rallies after RBI - Times of India"
2024-10-07,Breakingviews - China and India reveal emerging market mistakes - Reuters
2025-01-31,"Risks to Indian stock market rally have a US connection, warns Economic Survey. Details here - Mint"
2025-03-13,"Why Jim Walker, man who foresaw 2008 market crash, wants investors to ‘absolutely double down’ on Indian - Times of India"
2024-10-26,No fireworks from Sensex! Indian stock markets to see worst Diwali in 10 years? Here’s what analysts say - Times of India
2025-03-24,Indian stock markets reverse 2025 losses! Bulls party as foreign investors return to D-Street - but is th - Times of India
2025-08-08,"Stock Market Highlights: Sensex settles 765 pts lower, Nifty below 24,400; Tata Motors, M&M drop 2% each - The Economic Times"
2025-05-10,"India stock market is 245 times Pakistan’s stock market! Nifty50 resilient, KSE 100 crashes 9.5% amidst I - Times of India"
2025-02-03,"Stock market today: BSE Sensex ends over 300 points down; Nifty50 above 23,350 - Times of India"
2025-09-01,"Stock market highlights: Sensex ends 555pts up, Nifty at 24,625; SMIDs, Auto, Consumer Durables gain - Business Standard"
2025-04-04,"Why stock market crashed today: 4 factors behind BSE Sensex, Nifty50 fall - Rs 10 lakh crore investor wea - Times of India"
2024-10-01,"Is it ‘Buy China, Sell India’ now? China’s big stimulus makes FIIs pull away from Indian stock markets - Times of India"
2025-07-21,"Stock Market Highlights: Sensex settles 442 pts higher, Nifty above 25,050; Eternal jumps 7%, ICICI Bank 3% - The Economic Times"
2024-12-01,India’s Growth Shocker Seen Adding to Troubles for Stock Market - Bloomberg.com
2025-03-08,​Diversify now: On India and looming economic risks - The Hindu
